Year|Code|Title|Instructor|School|Term|Period|Classroom|c_id
2025|POLX331L|Advanced Topics in Political Science: Civil War Studies [E] 01|YANG, Yun Jung|Schl Political Sci/Econo|fall semester|['Tues.2']|['3-1104演習室']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G100SA2301202511G100SA2311&pLng=en
2025|ECNE101L|Introduction to Microeconomics [E] 01|KAWAMURA, Kohei|Schl Political Sci/Econo|fall quarter|['01:Mon.3', '02:Thur.5']|['01:3-302', '02:3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200101101202511G200101111&pLng=en
2025|ECNE101L|Introduction to Macroeconomics [E] 01|OGURA, Yoshiaki|Schl Political Sci/Econo|winter quarter|['01:Mon.3', '02:Fri.2']|['01:3-302', '02:3-302']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200101201202511G200101211&pLng=en
2025|ECNT211L|Microeconomics I [E] 01|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Tues.3']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200102001202511G200102011&pLng=en
2025|ECNT211L|Microeconomics I [E] 02|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|spring semester|['Tues.4']|['3-501']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200102002202511G200102011&pLng=en
2025|ECNT211L|Microeconomics II [E] 01|VESZTEG, Robert Ferenc|Schl Political Sci/Econo|fall semester|['Tues.3']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200102101202511G200102111&pLng=en
2025|ECNT411L|Macroeconomics I [E] 02|KATAYAMA, Munechika|Schl Political Sci/Econo|spring semester|['Wed.2']|['3-402']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200103002202511G200103011&pLng=en
2025|ECNT211L|Macroeconomics II [E] 01|RUJIWATTANAPONG, Wongkot Similan|Schl Political Sci/Econo|fall semester|['Mon.5']|['3-801']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200103101202511G200103111&pLng=en
2025|ECNT231L|Behavioral Economics [E] 01|ASAKO, Yasushi|Schl Political Sci/Econo|spring semester|['Thur.2']|['3-405']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200106001202511G200106011&pLng=en
2025|ECNA251L|Law and Economics [E] 01|KAWAMURA, Kohei|Schl Political Sci/Econo|fall semester|['Thur.2']|['3-701']|https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=11G200109001202511G200109011&pLng=en
